status,size,method,method_display_name,family,storage_model,repetitions,block_size,elapsed_compute_median_seconds,elapsed_compute_mean_seconds,elapsed_profile_run_seconds,algorithm_peak_memory_mb,lu_relative_error_inf,x_b_relative_error_inf,x_c_relative_error_inf,x_b_normalized_residual_inf,x_c_normalized_residual_inf,cpu_time_seconds,cpu_usage_avg_percent_total_capacity,cpu_usage_peak_percent_total_capacity,memory_peak_mb,gpu_usage_peak_percent,gpu_memory_peak_mb,cache_hit_percent_proxy_avg,cache_miss_percent_proxy_avg,skip_reason,method_note
measured,1024,thomas,Thomas Algorithm,specialized,tridiagonal compact,32,,0.009601950005162507,0.009772962499482674,0.00961130001815036,0.093719482421875,1.850371707708594e-17,1.1102230246251565e-16,1.1102230246251565e-16,4.9343245538895844e-17,4.93378920349858e-17,0.015625,1.396030609274109,1.575,35.07421875,0.0,0.0,100.0,0.0,,Structure-aware tridiagonal LU on compact diagonals.
measured,1024,block_lu_cpu,Block LU CPU,block,dense,3,16,0.1283576000132598,0.12841806667468822,0.12408390000928193,32.296875,1.850371707708594e-17,1.1102230246251565e-16,1.1102230246251565e-16,4.9343245538895844e-17,4.93378920349858e-17,0.46875,23.492849158363864,40.3,68.83984375,0.0,0.0,50.0,50.0,,Blocked no-pivot LU on CPU with backend-aware block size.
measured,1024,block_lu_gpu,Block LU GPU,block,dense,3,32,0.04857470002025366,0.04893863333078722,0.061057500017341226,56.5625,1.850371707708594e-17,2.220446049250313e-16,1.1102230246251565e-16,7.401486830834377e-17,4.93378920349858e-17,0.078125,2.8038598049815455,3.90625,377.13671875,33.0,1025.0,100.0,0.0,,Blocked no-pivot LU on GPU with on-device triangular solves.
measured,1024,doolittle,LU Doolittle,classic,dense,2,,3.156473300012294,3.156473300012294,3.1809651000075974,32.046875,1.850371707708594e-17,1.1102230246251565e-16,1.1102230246251565e-16,4.9343245538895844e-17,4.93378920349858e-17,3.171875,6.169319163473976,7.875,375.25390625,0.0,0.0,46.71582508375493,53.28417491624507,,Classic full-matrix Doolittle LU without pivoting.
measured,1024,gaussian_elimination,LU Gaussian Elimination,classic,dense,2,,1.0319208500150125,1.0319208500150125,0.9910209000227042,32.046875,1.850371707708594e-17,1.1102230246251565e-16,1.1102230246251565e-16,4.9343245538895844e-17,4.93378920349858e-17,1.0,6.302792822863763,7.875,379.38671875,0.0,0.0,16.666666666666668,83.33333333333333,,Classic full-matrix in-place Gaussian elimination LU without pivoting.
measured,2048,thomas,Thomas Algorithm,specialized,tridiagonal compact,24,,0.019174949993612245,0.019308216666104272,0.019259799970313907,0.187469482421875,1.850371707708594e-17,1.1102230246251565e-16,1.1102230246251565e-16,4.9343245538895844e-17,4.934056864172561e-17,0.015625,1.3600315577734254,1.25,347.42578125,0.0,0.0,0.0,100.0,,Structure-aware tridiagonal LU on compact diagonals.
measured,2048,block_lu_cpu,Block LU CPU,block,dense,2,32,0.4441302499908488,0.4441302499908488,0.43708210001932457,129.09375,1.850371707708594e-17,1.1102230246251565e-16,1.1102230246251565e-16,4.9343245538895844e-17,4.934056864172561e-17,2.234375,31.89791581969596,112.2,498.81640625,0.0,0.0,12.5,87.5,,Blocked no-pivot LU on CPU with backend-aware block size.
measured,2048,block_lu_gpu,Block LU GPU,block,dense,2,64,0.12720850002369843,0.12720850002369843,0.11970169999403879,226.125,1.850371707708594e-17,2.220446049250313e-16,1.1102230246251565e-16,7.401486830834377e-17,4.934056864172561e-17,0.15625,5.058787481192793,6.275,513.03515625,57.0,1165.0,100.0,0.0,,Blocked no-pivot LU on GPU with on-device triangular solves.
measured,2048,doolittle,LU Doolittle,classic,dense,1,,23.092942900024354,23.092942900024354,23.2701420999947,128.09375,1.850371707708594e-17,1.1102230246251565e-16,1.1102230246251565e-16,4.9343245538895844e-17,4.934056864172561e-17,23.1875,6.21363703235853,7.875,501.1640625,0.0,0.0,35.14202774738667,64.85797225261334,,Classic full-matrix Doolittle LU without pivoting.
measured,2048,gaussian_elimination,LU Gaussian Elimination,classic,dense,1,,9.036969800014049,9.036969800014049,8.906165399996098,128.09375,1.850371707708594e-17,1.1102230246251565e-16,1.1102230246251565e-16,4.9343245538895844e-17,4.934056864172561e-17,8.953125,6.241133364518111,10.3875,513.20703125,0.0,0.0,23.45679012345679,76.54320987654322,,Classic full-matrix in-place Gaussian elimination LU without pivoting.
measured,4096,thomas,Thomas Algorithm,specialized,tridiagonal compact,16,,0.03802860001451336,0.03821273125868174,0.03797689999919385,0.374969482421875,1.850371707708594e-17,1.1102230246251565e-16,1.1102230246251565e-16,4.9343245538895844e-17,4.934190705400397e-17,0.03125,2.851310672746977,2.50625,385.19140625,0.0,0.0,0.0,100.0,,Structure-aware tridiagonal LU on compact diagonals.
measured,4096,block_lu_cpu,Block LU CPU,block,dense,1,32,3.054942899965681,3.054942899965681,3.048594399995636,514.1875,1.850371707708594e-17,1.1102230246251565e-16,1.1102230246251565e-16,4.9343245538895844e-17,4.934190705400397e-17,17.375,34.987165962549696,95.58125,1021.75390625,0.0,0.0,30.90909090909091,69.0909090909091,,Blocked no-pivot LU on CPU with backend-aware block size.
measured,4096,block_lu_gpu,Block LU GPU,block,dense,2,64,0.5093299500294961,0.5093299500294961,0.5024450000491925,900.25,1.850371707708594e-17,2.220446049250313e-16,1.1102230246251565e-16,7.401486830834377e-17,4.934190705400397e-17,0.546875,5.576680630993336,8.3125,1027.66015625,85.0,1789.0,100.0,0.0,,Blocked no-pivot LU on GPU with on-device triangular solves.
skipped,4096,doolittle,LU Doolittle,classic,dense,,,,,,,,,,,,,,,,,,,,Skipped: dense classical LU becomes too slow past this size.,Classic full-matrix Doolittle LU without pivoting.
measured,4096,gaussian_elimination,LU Gaussian Elimination,classic,dense,1,,70.36264810001012,70.36264810001012,70.80446759995539,512.1875,1.850371707708594e-17,1.1102230246251565e-16,1.1102230246251565e-16,4.9343245538895844e-17,4.934190705400397e-17,70.90625,6.254243028417123,8.49375,1140.87890625,0.0,0.0,34.206309316188694,65.7936906838113,,Classic full-matrix in-place Gaussian elimination LU without pivoting.
measured,8192,thomas,Thomas Algorithm,specialized,tridiagonal compact,12,,0.07817449999856763,0.07833977499588703,0.07685890002176166,0.749969482421875,1.850371707708594e-17,1.1102230246251565e-16,1.1102230246251565e-16,4.9343245538895844e-17,4.934257628737285e-17,0.078125,3.732206749874688,7.75,516.109375,0.0,0.0,50.0,50.0,,Structure-aware tridiagonal LU on compact diagonals.
