size,method,backend,block_size,elapsed_compute_median_seconds,cpu_usage_avg_percent_total_capacity,cpu_usage_peak_percent_total_capacity,process_peak_rss_mb,algorithm_peak_memory_mb,gpu_usage_peak_percent,gpu_memory_peak_mb,lu_relative_error_inf,x_b_relative_error_inf,x_c_relative_error_inf,x_b_normalized_residual_inf,x_c_normalized_residual_inf
8,thomas,cpu,,7.449998520314693e-05,0.0,0.0,323.4140625,0.000702,0.0,0.0,1.850371707708594e-17,0.0,1.1102230246251565e-16,0.0,4.866731066850001e-17
8,block_lu,cpu,4,0.00029239998548291624,0.0,0.0,323.62109375,0.002808,0.0,0.0,1.850371707708594e-17,0.0,1.1102230246251565e-16,0.0,4.866731066850001e-17
16,thomas,cpu,,0.0001581500400789082,0.0,0.0,323.625,0.001434,0.0,0.0,1.850371707708594e-17,1.1102230246251565e-16,1.1102230246251565e-16,4.9343245538895844e-17,4.900294729380001e-17
16,block_lu,cpu,4,0.0005985999887343496,1.8239390451571877,1.55,323.640625,0.009521,0.0,0.0,1.850371707708594e-17,1.1102230246251565e-16,1.1102230246251565e-16,4.9343245538895844e-17,4.900294729380001e-17
32,thomas,cpu,,0.00029314999119378626,0.0,0.0,323.64453125,0.002899,0.0,0.0,1.850371707708594e-17,1.1102230246251565e-16,1.1102230246251565e-16,4.9343245538895844e-17,4.917250766505884e-17
32,block_lu,cpu,4,0.001230149995535612,0.0,0.0,323.68359375,0.034668,0.0,0.0,1.850371707708594e-17,1.1102230246251565e-16,1.1102230246251565e-16,4.9343245538895844e-17,4.917250766505884e-17
128,thomas,cpu,,0.0011769499978981912,1.7623123884553054,1.575,323.6875,0.011688,0.0,0.0,1.850371707708594e-17,1.1102230246251565e-16,1.1102230246251565e-16,4.9343245538895844e-17,4.930045000937382e-17
128,block_lu,cpu,8,0.004824049974558875,1.7505543521169589,1.55,323.75390625,0.521484,0.0,0.0,1.850371707708594e-17,1.1102230246251565e-16,1.1102230246251565e-16,4.9343245538895844e-17,4.930045000937382e-17
256,thomas,cpu,,0.002391500020166859,0.0,0.0,324.1953125,0.023407,0.0,0.0,1.850371707708594e-17,1.1102230246251565e-16,1.1102230246251565e-16,4.9343245538895844e-17,4.932183849093971e-17
256,block_lu,cpu,8,0.01101580000249669,1.5920094871878079,1.575,325.4609375,2.042969,0.0,0.0,1.850371707708594e-17,1.1102230246251565e-16,1.1102230246251565e-16,4.9343245538895844e-17,4.932183849093971e-17
512,thomas,cpu,,0.0047630000044591725,2.831925194088441,2.50625,327.41015625,0.046844,0.0,0.0,1.850371707708594e-17,1.1102230246251565e-16,1.1102230246251565e-16,4.9343245538895844e-17,4.933253969260839e-17
512,block_lu,gpu,32,0.024352949985768646,1.5078824861068376,2.34375,341.6015625,14.281250,33.0,2009.0,1.850371707708594e-17,2.220446049250313e-16,1.1102230246251565e-16,7.401486830834377e-17,4.933253969260839e-17
