size,method,backend,single_runtime_s,batch_repetitions,cpu_avg_percent_total_capacity,cpu_peak_percent_total_capacity,process_peak_rss_mb,algorithm_peak_memory_mb,gpu_peak_percent,gpu_memory_peak_mb
8,thomas,cpu,7.554999319836497e-05,3310,5.668936296943856,6.26875,323.3515625,0.000702,0.0,0.0
8,block_lu,cpu,0.000294400000711903,850,6.389540753891053,6.8875,323.5390625,0.002808,0.0,0.0
16,thomas,cpu,0.00014999997802078724,1667,6.862392383348559,7.275,323.5546875,0.001434,0.0,0.0
16,block_lu,cpu,0.0006092499825172126,411,6.150019656699925,7.35,323.5703125,0.009521,0.0,0.0
32,thomas,cpu,0.00029590001213364303,845,6.231682080303082,6.2625,323.58203125,0.002899,0.0,0.0
32,block_lu,cpu,0.00131130003137514,191,6.322483479501916,6.3,323.62890625,0.034668,0.0,0.0
128,thomas,cpu,0.0011687000223901123,214,5.696248515631979,7.1,323.62890625,0.011688,0.0,0.0
128,block_lu,cpu,0.004842349997488782,52,5.657334608734581,7.75,323.68359375,0.521484,0.0,0.0
256,thomas,cpu,0.002378050034167245,106,5.076694641843926,5.2625,323.6875,0.023407,0.0,0.0
256,block_lu,cpu,0.011225599999306723,23,5.25977767197226,6.3,324.51953125,2.042969,0.0,0.0
512,thomas,cpu,0.005347650003386661,47,5.109502895898208,6.2625,323.5546875,0.046844,0.0,0.0
512,block_lu,gpu,0.0215604999975767,12,4.489735121176243,7.8125,335.23828125,14.281250,36.0,1809.0
